#OTU ID	SZMB12	SZMB7	SZMB6	SZMB5	SZMB9	SZMB10
1016598	0	1	0	0	0	1
102471	0	2	0	0	0	0
1034960	0	0	0	1	0	1
104144	0	0	0	0	0	2
1056816	0	0	1	1	0	0
1105459	0	0	0	0	2	0
110858	0	0	2	0	0	0
1111216	0	0	2	0	0	0
1111782	1	0	0	1	0	0
1121455	0	0	0	1	0	1
1128341	2	0	0	0	0	0
1129180	0	1	0	1	0	0
113003	1	1	0	0	0	0
129401	0	0	0	1	0	1
132991	0	2	0	0	0	0
136044	0	0	0	0	0	2
134399	0	0	0	1	0	1
141145	2	0	0	0	0	0
151647	0	0	0	1	1	0
157772	0	0	2	0	0	0
16034	0	0	1	1	0	0
161997	0	1	0	1	0	0
1691506	2	0	0	0	0	0
16925	0	0	0	2	0	0
174747	0	1	0	0	1	0
175125	0	0	0	0	0	2
175180	0	1	0	0	1	0
175630	0	0	0	2	0	0
175729	1	0	0	1	0	0
178478	0	0	0	2	0	0
176753	1	1	0	0	0	0
176604	0	1	1	0	0	0
177039	0	0	0	2	0	0
179572	0	0	0	0	1	1
180067	2	0	0	0	0	0
180826	0	0	0	1	1	0
181719	0	0	0	1	0	1
181940	0	0	0	0	1	1
182133	0	0	0	0	0	2
182647	0	0	1	0	0	1
184249	0	0	2	0	0	0
182933	0	2	0	0	0	0
183579	0	2	0	0	0	0
184339	0	2	0	0	0	0
184770	1	0	0	0	1	0
184805	0	0	1	0	1	0
185232	1	1	0	0	0	0
185972	0	1	1	0	0	0
187051	0	1	0	1	0	0
186872	0	0	0	0	2	0
187155	0	0	0	0	2	0
187386	1	0	0	0	1	0
187350	0	0	2	0	0	0
188966	0	1	0	0	1	0
189708	0	1	0	1	0	0
189346	0	0	1	0	1	0
189624	0	2	0	0	0	0
189877	0	2	0	0	0	0
190116	0	0	0	0	2	0
190226	0	0	2	0	0	0
191251	0	0	0	0	1	1
191884	0	1	1	0	0	0
192015	0	0	0	1	1	0
192504	0	0	1	1	0	0
193139	0	0	1	0	1	0
194014	0	1	1	0	0	0
194287	0	1	0	0	1	0
194733	0	2	0	0	0	0
194761	0	1	0	0	1	0
194944	0	0	2	0	0	0
195211	0	0	2	0	0	0
196191	2	0	0	0	0	0
196135	0	1	0	0	1	0
196844	1	0	0	1	0	0
196990	0	2	0	0	0	0
198449	0	1	0	0	0	1
198503	0	0	0	0	0	2
199268	0	0	2	0	0	0
204369	2	0	0	0	0	0
2051608	0	2	0	0	0	0
205613	0	1	0	0	1	0
2058521	0	0	1	0	0	1
207023	0	0	0	0	0	2
212807	1	1	0	0	0	0
2177996	1	0	0	0	0	1
219154	0	0	0	0	2	0
22371	0	2	0	0	0	0
227697	1	0	0	1	0	0
228787	1	0	1	0	0	0
229958	0	0	0	0	0	2
2309802	1	0	0	0	0	1
233052	0	0	0	0	2	0
235127	0	0	0	0	2	0
2442706	0	0	2	0	0	0
243911	0	0	2	0	0	0
24546	2	0	0	0	0	0
248492	0	0	1	0	0	1
2545820	0	1	1	0	0	0
258099	0	0	0	1	0	1
258202	0	1	0	0	0	1
259677	1	0	0	0	0	1
261891	0	2	0	0	0	0
263390	0	0	0	0	1	1
264211	0	0	1	1	0	0
264009	0	2	0	0	0	0
264023	0	0	0	0	0	2
264572	0	1	0	0	1	0
265316	0	2	0	0	0	0
265925	0	1	0	0	0	1
267718	1	1	0	0	0	0
